City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Port Shepstone,ZA,-30.7414,30.455,73.83,91,100,4.63,overcast clouds
288,Chuy,UY,-33.6971,-53.4616,76.33,61,0,14.99,clear sky
289,Kashi,CN,39.4547,75.9797,22.21,58,8,8.95,clear sky
290,Grand Gaube,MU,-20.0064,57.6608,79.2,67,100,1.01,overcast clouds
291,Salamanca,ES,40.8333,-6.0,44.38,78,12,4.14,few clouds
292,Bandarbeyla,SO,9.4942,50.8122,76.86,78,7,22.7,clear sky
293,Mercedes,AR,-34.6515,-59.4307,82.85,54,96,8.48,overcast clouds
294,Copiapo,CL,-27.3667,-70.3333,65.89,33,0,12.12,clear sky
295,La Ronge,CA,55.1001,-105.2842,8.85,85,90,2.3,overcast clouds
296,Bathsheba,BB,13.2167,-59.5167,81.21,89,75,16.11,broken clouds
297,Sisimiut,GL,66.9395,-53.6735,16.25,89,84,8.57,broken clouds
298,Ko Samui,TH,9.5357,99.9357,80.51,68,12,10.92,few clouds
299,Trairi,BR,-3.2778,-39.2689,83.46,69,72,13.62,broken clouds
300,Oriximina,BR,-1.7656,-55.8661,81.05,87,99,1.99,overcast clouds
301,Kyren,RU,51.6828,102.1408,16.21,76,96,2.46,overcast clouds
302,Coahuayana,MX,18.7333,-103.6833,88.95,54,35,6.8,scattered clouds
303,Vanimo,PG,-2.6741,141.3028,78.55,88,100,6.08,overcast clouds
304,Tessalit,ML,20.1986,1.0114,73.09,8,2,8.48,clear sky
305,Mogadishu,SO,2.0371,45.3438,79.56,84,85,20.33,overcast clouds
306,Bonfim,BR,3.0833,-59.95,86.02,61,100,6.89,overcast clouds
307,Port Lincoln,AU,-34.7333,135.8667,59.97,77,88,15.77,overcast clouds
308,Poum,NC,-20.2333,164.0167,77.67,89,100,13.91,overcast clouds
309,Lincoln,US,40.8,-96.667,55.02,38,1,5.99,clear sky
310,Guerrero Negro,MX,27.9769,-114.0611,68.23,43,64,8.43,broken clouds
311,Lavrentiya,RU,65.5833,-171.0,-13.83,85,2,3.76,clear sky
312,Vao,NC,-22.6667,167.4833,77.38,90,100,17.18,overcast clouds
313,Plettenberg Bay,ZA,-34.0527,23.3716,65.73,88,94,5.03,overcast clouds
314,Muros,ES,42.7762,-9.0603,54.23,94,89,4.56,overcast clouds
315,Takab,IR,36.4009,47.1133,35.91,33,0,2.48,clear sky
316,Poninka,UA,50.1849,27.5363,39.81,96,100,8.79,overcast clouds
317,Sibolga,ID,1.7427,98.7792,76.14,90,100,2.3,overcast clouds
318,Nizwa,OM,22.9333,57.5333,64.69,44,4,3.6,clear sky
319,Chum Phae,TH,16.5443,102.0992,69.75,64,98,5.3,overcast clouds
320,Mocuba,MZ,-16.8392,36.9856,82.6,60,0,8.23,clear sky
321,Margate,GB,51.3813,1.3862,52.97,88,100,1.99,overcast clouds
322,Mount Isa,AU,-20.7333,139.5,79.02,17,3,9.15,clear sky
323,Puerto Suarez,BO,-18.95,-57.8,75.76,88,40,9.22,scattered clouds
324,La Reforma,MX,25.0833,-108.05,85.75,47,84,7.78,broken clouds
325,Amahai,ID,-3.3333,128.9167,79.45,82,97,2.98,overcast clouds
326,San Juan,AR,-31.5375,-68.5364,81.48,35,3,19.53,clear sky
327,Boyolangu,ID,-8.1181,111.8935,76.35,90,95,3.85,overcast clouds
328,Viedma,AR,-40.8135,-62.9967,76.64,14,68,25.46,broken clouds
329,Mount Gambier,AU,-37.8333,140.7667,62.51,45,9,9.22,clear sky
330,Kangundo,KE,-1.2979,37.3471,57.76,95,100,1.9,overcast clouds
331,Itarema,BR,-2.9248,-39.9167,83.59,67,18,18.03,few clouds
332,Samsun,TR,41.25,36.3333,56.98,40,0,1.14,clear sky
333,Alekseyevka,RU,50.6309,38.6903,29.23,61,100,12.35,overcast clouds
334,Bhaderwah,IN,32.9784,75.7186,40.35,30,98,3.42,overcast clouds
335,Vung Tau,VN,10.346,107.0843,76.42,84,35,8.25,scattered clouds
336,Redmond,US,47.674,-122.1215,44.1,79,100,1.01,overcast clouds
337,Huttwil,CH,47.115,7.8621,34.7,82,44,2.33,scattered clouds
338,Maldonado,UY,-34.6667,-54.9167,85.39,49,43,15.05,scattered clouds
339,Rio Gallegos,AR,-51.6226,-69.2181,55.45,26,40,39.12,scattered clouds
